"treatment","rank","total","precent"
"ISOTIQUIMIDE..BRD.BRD.A02933148.001.01.8.",9024,9178,98.3220745260405
"IBOTENIC.ACID..BRD.BRD.A02971356.001.09.9.",-1,7967,-0.0125517760763148
"LOFEXIDINE..BRD.BRD.A02990301.003.06.6.",2333,11367,20.5243247998592
"ALIZAPRIDE..BRD.BRD.A03061970.003.07.3.",-1,11813,-0.00846525014814188
"PREGNANOLONE..BRD.BRD.A03204438.001.01.2.",-1,10459,-0.00956114351276413
"MEPIVACAINE..BRD.BRD.A03216249.003.24.3.",743,10744,6.91548771407297
"ICI.89406..BRD.BRD.A03359064.001.02.3.",-1,7178,-0.0139314572304263
"XL888..BRD.BRD.A03506276.001.01.5.",427,6397,6.67500390808191
"METOPROLOL..BRD.BRD.A03623303.045.09.5.",1200,8283,14.4875045273452
"BISMUTH.SUBCITRATE.POTASSIUM..BRD.BRD.A03880619.001.01.0.",-1,11091,-0.00901631953836444
"METHSCOPOLAMINE..BRD.BRD.A03932035.004.04.3.",6407,9980,64.1983967935872
"PIRICAPIRON..BRD.BRD.A04203391.001.08.3.",-1,9543,-0.010478885046631
"EPERISONE..BRD.BRD.A04252265.003.01.4.",-1,9219,-0.0108471634667534
"ISOPRENALINE..BRD.BRD.A04322457.003.17.9.",2716,12360,21.9741100323625
"SYNEPHRINE..BRD.BRD.A04327189.001.15.1.",-1,9207,-0.0108613011838818
"SYNEPHRINE..BRD.BRD.A04327189.003.03.3.",-1,12057,-0.00829393713195654
"MARAVIROC..BRD.BRD.A04352665.001.05.3.",-1,11724,-0.0085295121119072
"GEPEFRINE..BRD.BRD.A04447196.001.01.8.",11618,11866,97.9099949435361
"TRILOSTANE..BRD.BRD.A04497688.001.04.2.",-1,7569,-0.0132117849121416
"STEPRONIN..BRD.BRD.A04506385.001.01.2.",5106,8183,62.3976536722473
"CHLORPHENAMINE..BRD.BRD.A04553218.050.16.2.",-1,10447,-0.00957212596917775
"LM11A.31..BRD.BRD.A04649065.001.01.7.",-1,11737,-0.00852006475249212
"X2.PMDQ..BRD.BRD.A04661934.001.02.9.",5250,7065,74.3099787685775
"CLORANOLOL..BRD.BRD.A04971881.003.01.3.",-1,12860,-0.00777604976671851
"BUPROPION..BRD.BRD.A05186015.003.19.8.",-1,11005,-0.00908677873693776
"LISOFYLLINE..BRD.BRD.A05334458.001.02.8.",8242,9799,84.1106235330136
"BAY.K.8644........BRD.BRD.A05457250.001.08.4.",2837,6766,41.9302394324564
"ERDOSTEINE..BRD.BRD.A05515753.001.03.2.",-1,9608,-0.0104079933388843
"TELMESTEINE..BRD.BRD.A05523972.001.01.5.",4493,8369,53.6862229657068
"D.L.MEVALONIC.ACID.LACTONE..BRD.BRD.A05674712.001.06.0.",-1,9096,-0.0109938434476693
"CPCCOET..BRD.BRD.A05729358.001.02.0.",2085,7355,28.3480625424881
"LAPPACONITE..BRD.BRD.A05906449.004.01.1.",-1,11927,-0.00838433805651044
"TERFENADINE..BRD.BRD.A06352418.001.25.9.",-1,7986,-0.0125219133483596
"SB.218078..BRD.BRD.A06352508.001.03.7.",-1,10551,-0.00947777461851957
"HYDROQUINIDINE..BRD.BRD.A06390036.001.04.6.",22,8936,0.246195165622202
"DICLAZURIL..BRD.BRD.A06426627.001.03.5.",4629,10246,45.1786062853797
"MONENSIN..BRD.BRD.A06627858.236.03.0.",1411,7402,19.0624155633613
"ANISOTROPINE..BRD.BRD.A06771424.004.01.7.",4239,9376,45.2111774744027
"MRS.1334..BRD.BRD.A06784547.001.03.9.",3907,5474,71.3737668980636
"CPI.613..BRD.BRD.A06916187.001.02.9.",1068,6965,15.3338119167265
"FUSIDIC.ACID..BRD.BRD.A06935312.001.04.3.",6283,10887,57.7110315054652
"HYDROCORTISONE.HEMISUCCINATE..BRD.BRD.A07000685.001.04.4.",-1,7539,-0.0132643586682584
"MELUADRINE..BRD.BRD.A07164067.001.01.2.",-1,8283,-0.0120729204394543
"RO.20.1724..BRD.BRD.A07207424.001.13.2.",3487,5479,63.6430005475452
"X8.M.PDOT..BRD.BRD.A07232941.001.02.7.",-1,9881,-0.010120433154539
"ESMOLOL..BRD.BRD.A07395371.003.10.0.",-1,9066,-0.0110302228105008
"LABETALOL..BRD.BRD.A07440155.003.25.4.",1489,10106,14.7338214921829
"BOPINDOLOL..BRD.BRD.A07563059.035.01.3.",6021,10094,59.6492966118486
"MECLOCYCLINE.SULFOSALICYLATE..BRD.BRD.A07600638.060.05.2.",-1,7387,-0.0135372952484094
"ISOFLOXYTHEPIN..BRD.BRD.A07704283.001.01.3.",-1,8888,-0.0112511251125113
"METAPROTERENOL..BRD.BRD.A07780951.001.08.9.",1100,10745,10.2373196835738
"METAPROTERENOL..BRD.BRD.A07780951.065.10.0.",4934,8929,55.2581476089148
"KAKONEIN..BRD.BRD.A07815743.001.01.1.",8733,9996,87.3649459783914
"BICUCULLINE......BRD.BRD.A07870296.001.07.4.",10424,13052,79.8651547655532
"VIGABATRIN..BRD.BRD.A07893380.213.01.7.",-1,8275,-0.0120845921450151
"METITEPINE..BRD.BRD.A07932845.050.15.8.",3256,9808,33.1973898858075
"BUPARVAQUONE..BRD.BRD.A07947329.001.01.4.",4208,10829,38.8586203712254
"GALETERONE..BRD.BRD.A07986123.001.02.8.",-1,8582,-0.0116522955022139
"CDBA..BRD.BRD.A08079565.001.01.8.",5442,12109,44.9417788421835
"RACECADOTRIL..BRD.BRD.A08187463.001.12.9.",5768,9364,61.5976078598889
"FAMPROFAZONE..BRD.BRD.A08255417.001.14.7.",2728,6632,41.1338962605549
"ETONOGESTREL..BRD.BRD.A08302182.001.01.7.",-1,6778,-0.0147536146355857
"BROXATEROL..BRD.BRD.A08316590.001.01.3.",1769,8365,21.1476389719068
"DOXYCYCLINE..BRD.BRD.A08545410.003.07.8.",4897,6695,73.1441374159821
"DOXYCYCLINE..BRD.BRD.A08545410.003.08.6.",1930,9557,20.1946217432249
"DOXYCYCLINE..BRD.BRD.A08545410.311.01.8.",7463,10735,69.5202608290638
"DOXYCYCLINE..BRD.BRD.A08545410.311.03.4.",702,7823,8.97353956282756
"POLYMYXIN.B.SULFATE..BRD.BRD.A08641215.065.05.5.",-1,8147,-0.0122744568552842
"IODIXANOL..BRD.BRD.A08660406.001.05.9.",1059,9447,11.2099079072722
"L.THEANINE..BRD.BRD.A08715367.001.01.7.",2098,8380,25.035799522673
"SQ.109..BRD.BRD.A08772153.001.02.4.",491,9996,4.91196478591437
"CID.5458317..BRD.BRD.A08840375.001.01.3.",772,10804,7.14550166604961
"APR.246..BRD.BRD.A09004963.001.01.3.",6616,10985,60.2275830678198
"ALFUZOSIN..BRD.BRD.A09056319.003.07.7.",-1,11294,-0.00885425889853019
"AMYLEINE..BRD.BRD.A09062839.003.10.0.",4849,9059,53.5268793465062
"STRYCHNINE..BRD.BRD.A09094913.065.01.0.",4267,7436,57.3830016137708
"NORETHINDRONE.ACETATE..BRD.BRD.A09349126.001.10.7.",1476,7830,18.8505747126437
"FPL.12495..BRD.BRD.A09368919.001.01.7.",9282,9469,98.0251346499102
"IOXILAN..BRD.BRD.A09370961.001.01.0.",10152,12295,82.5701504676698
"MEBEVERINE..BRD.BRD.A09467419.003.22.4.",838,8220,10.1946472019465
"FLECAINIDE..BRD.BRD.A09472452.015.23.4.",3280,7398,44.3363071100297
"P7C3..BRD.BRD.A09487507.001.03.9.",-1,9743,-0.0102637791234733
"VERAPAMIL..BRD.BRD.A09533288.003.31.2.",4829,8931,54.0700929347218
"X8.BROMO.CAMP..BRD.BRD.A09554849.236.07.6.",-1,5790,-0.0172711571675302
"CYCLOPHOSPHAMIDE..BRD.BRD.A09722536.002.18.0.",6054,10598,57.1239856576713
"BOCEPREVIR..BRD.BRD.A09735281.001.02.5.",595,11368,5.23399014778325
"SKF.81297..BRD.BRD.A09828896.004.11.0.",5721,12438,45.9961408586589
"PROLYLLEUCYLGLYCINAMIDE..BRD.BRD.A09911125.001.01.4.",7517,11008,68.2867005813954
"ETILEFRINE..BRD.BRD.A09925278.003.05.6.",2191,8788,24.9317250796541
"TIPRANAVIR..BRD.BRD.A10039652.001.01.2.",4016,9268,43.3318946914113
"PROPRANOLOL..BRD.BRD.A10070317.003.28.3.",-1,8433,-0.0118581762124985
"ADENOSINE.PHOSPHATE..BRD.BRD.A10111329.001.04.6.",1202,7635,15.743287491814
"DEXAMETHASONE..BRD.BRD.A10188456.001.04.9.",4927,6285,78.3929992044551
"CYCLOPIAZONIC.ACID..BRD.BRD.A10420615.001.04.4.",6799,10416,65.2745775729647
"GSK429286A..BRD.BRD.A10523515.001.07.9.",-1,11404,-0.00876885303402315
"FOSFOMYCIN..BRD.BRD.A10652366.238.04.1.",-1,9928,-0.0100725221595488
"PRENYLAMINE..BRD.BRD.A10662413.043.11.2.",428,9426,4.54063229365585
"EFAROXAN..BRD.BRD.A10739734.003.10.6.",387,9112,4.24714661984197
"GLYCEROL.MONOLAURATE..BRD.BRD.A10773072.001.03.4.",10489,11457,91.5510168455966
"IMILOXAN..BRD.BRD.A10903566.003.07.7.",2569,8967,28.6494925839188
"GRANISETRON..BRD.BRD.A10967948.003.06.3.",-1,9438,-0.0105954651409197
"CARVEDILOL..BRD.BRD.A10977446.001.12.1.",-1,10794,-0.00926440615156568
"CARBAZOCHROME..BRD.BRD.A11070335.236.02.1.",-1,8965,-0.011154489682097
"NADIDE..BRD.BRD.A11132253.001.08.2.",-1,10464,-0.0095565749235474
"DEHYDROCHOLATE.ACID..BRD.BRD.A11551002.001.04.6.",379,8927,4.24554721631007
"MEPARFYLON..BRD.BRD.A11662333.001.03.3.",-1,12355,-0.00809388911371914
"TERCIPRAZINE..BRD.BRD.A11725667.001.01.8.",-1,11044,-0.00905469032959073
"BAY.85.8050..BRD.BRD.A11731518.001.01.7.",-1,10726,-0.0093231400335633
"ENILCONAZOLE..BRD.BRD.A11776908.065.01.5.",1303,11980,10.8764607679466
"AM.92016..BRD.BRD.A11813248.003.02.4.",-1,9408,-0.0106292517006803
"PROSCILLARIDIN.A..BRD.BRD.A11815689.001.01.1.",1951,5129,38.0386040163775
"LORAZEPAM..BRD.BRD.A11990600.001.03.4.",5470,6904,79.2294322132097
"CEFEPIME..BRD.BRD.A12077521.003.01.5.",6752,9548,70.7163803937998
"TC.A.2317..BRD.BRD.A12147465.003.02.9.",3377,4806,70.2663337494798
"NUTLIN.3..BRD.BRD.A12230535.001.06.7.",-1,10368,-0.00964506172839506
"L.CITRULLINE..BRD.BRD.A12237696.001.04.2.",-1,10839,-0.00922594335270781
"USNIACIN......BRD.BRD.A12417644.001.07.6.",691,8834,7.82205116594974
"L.HYDROXYPROLINE..BRD.BRD.A12454076.001.01.9.",3412,10770,31.6805942432683
"ML.213..BRD.BRD.A12633378.001.07.0.",-1,11134,-0.0089814981138854
"CISAPRIDE..BRD.BRD.A12896037.001.04.3.",4830,8910,54.2087542087542
"POMALIDOMIDE..BRD.BRD.A12994259.001.02.1.",-1,8582,-0.0116522955022139
"TROGLITAZONE..BRD.BRD.A13084692.001.17.3.",-1,6577,-0.0152045005321575
"MABUTEROL..BRD.BRD.A13116749.003.01.6.",9482,13173,71.9805663098763
"FLUOROMETHOLONE..BRD.BRD.A13133631.001.04.0.",-1,6404,-0.0156152404747033
"DOXAZOSIN..BRD.BRD.A13188892.066.21.5.",9034,9339,96.7341257093907
"BINA..BRD.BRD.A13293292.001.02.6.",2544,10082,25.2330886728824
"PERILLYL.ALCOHOL..BRD.BRD.A13323580.001.04.8.",-1,7927,-0.0126151129052605
"ORNITHINE..BRD.BRD.A13561534.003.02.0.",-1,8775,-0.0113960113960114
"X5..CHLORO.5..DEOXY.ENBA........BRD.BRD.A13598753.001.01.2.",-1,10303,-0.00970591089973794
"ONO.4059..BRD.BRD.A13689093.001.01.8.",-1,6785,-0.0147383935151069
"SULINDAC..BRD.BRD.A13946108.001.17.1.",-1,10718,-0.00933009889904833
"TC1..BRD.BRD.A13964793.001.02.6.",3661,9838,37.2128481398658
"OXYPHENONIUM..BRD.BRD.A14208071.004.19.8.",-1,7268,-0.0137589433131535
"OCTOPAMINE..BRD.BRD.A14240607.003.26.1.",-1,8237,-0.0121403423576545
"GUANADREL..BRD.BRD.A14262390.065.01.8.",-1,8206,-0.0121862052156958
"SN.6..BRD.BRD.A14316475.001.02.3.",5723,8781,65.1748092472384
"IDRA.21..BRD.BRD.A14344385.001.03.2.",3665,6256,58.5837595907928
"MESORIDAZINE..BRD.BRD.A14395271.074.17.8.",-1,9385,-0.0106553010122536
"UB.165..BRD.BRD.A14574269.051.02.2.",-1,9386,-0.0106541657788195
"PEFICITINIB..BRD.BRD.A14577621.001.01.5.",1891,11265,16.7865068797159
"TETRAZOL.5.YL.GLYCINE..RS...BRD.BRD.A14757586.001.04.9.",-1,6634,-0.0150738619234248
"NORGESTREL..BRD.BRD.A14886633.001.01.6.",5007,10130,49.4274432379072
"DOFEQUIDAR..BRD.BRD.A14941520.051.01.0.",1427,10470,13.629417382999
"ALAPROCLATE..BRD.BRD.A14966924.003.07.7.",-1,10085,-0.00991571641051066
"DIADENOSINE.TETRAPHOSPHATE..BRD.BRD.A15035311.001.01.8.",3243,9999,32.4332433243324
"MILNACIPRAN..BRD.BRD.A15202882.003.02.7.",-1,10361,-0.0096515780330084
"FLUOCINOLONE.ACETONIDE..BRD.BRD.A15297126.001.04.3.",-1,7197,-0.0138946783381965
"L.CYSTINE..BRD.BRD.A15397381.001.02.5.",8504,13238,64.2393110741804
"GW.1929..BRD.BRD.A15415227.003.02.9.",-1,6968,-0.0143513203214696
"BMY.14802..BRD.BRD.A15435692.003.02.3.",8427,10660,79.0525328330206
"SDZ.21009..BRD.BRD.A15530910.001.02.1.",-1,10945,-0.00913659205116491
"CLOFEDANOL..BRD.BRD.A15687940.001.05.6.",-1,9502,-0.0105241001894338
"POLYTHIAZIDE..BRD.BRD.A15739803.001.01.0.",7681,9131,84.1200306647684
"REBAMIPIDE..BRD.BRD.A15909516.001.06.6.",5686,12207,46.579831244368
"BUCLADESINE..BRD.BRD.A15931911.001.03.8.",5548,11023,50.3311258278146
"SAR405838..BRD.BRD.A16035238.001.01.7.",-1,8830,-0.0113250283125708
"MISONIDAZOLE..BRD.BRD.A16263897.001.06.6.",-1,9769,-0.0102364622786365
"INDOBUFEN..BRD.BRD.A16296925.001.01.3.",1848,7676,24.0750390828557
"THIOCTIC.ACID..BRD.BRD.A16347691.001.13.1.",1495,8287,18.0403040907445
"DORAMECTIN..BRD.BRD.A16350940.001.01.9.",5941,9651,61.5583877318413
"QUINESTROL..BRD.BRD.A16439188.001.01.1.",-1,9431,-0.0106033294454459
"TCS.5861528..BRD.BRD.A16560607.001.02.5.",10252,11764,87.14722883373
"BUTOCONAZOLE..BRD.BRD.A16665823.001.02.0.",4461,10197,43.7481612238894
"BADGE..BRD.BRD.A16694057.001.06.8.",-1,9414,-0.0106224771616741
"ISOXSUPRINE..BRD.BRD.A16700644.003.04.4.",1705,9746,17.4943566591422
"PROTIRELIN..BRD.BRD.A16997652.001.02.3.",5644,8871,63.6230413707586
"ISAVUCONAZOLE..BRD.BRD.A17009129.001.01.3.",4225,10625,39.7647058823529
"DEHYDROACETIC.ACID..BRD.BRD.A17300716.001.01.5.",-1,8198,-0.0121980970968529
"ALCLOMETASONE.DIPROPIONATE..BRD.BRD.A17407635.001.04.0.",-1,6717,-0.0148875986303409
"CARPROFEN..BRD.BRD.A17411484.001.11.9.",-1,13137,-0.00761208799573723
"BW.723C86..BRD.BRD.A17428743.003.09.0.",-1,10138,-0.00986387847701716
"MDL.72832..BRD.BRD.A17453586.003.02.3.",-1,7660,-0.0130548302872063
"BAMBUTEROL..BRD.BRD.A17462676.003.11.6.",-1,8738,-0.0114442664225223
"IBUPROFEN..BRD.BRD.A17655518.001.24.4.",-1,9502,-0.0105241001894338
"TROLOX..BRD.BRD.A17846016.001.13.9.",888,9179,9.67425645495152
"LENALIDOMIDE..BRD.BRD.A17883755.001.06.1.",2924,12026,24.3139863628804
"PHENSUXIMIDE..BRD.BRD.A18043272.001.09.9.",-1,7697,-0.012992074834351
"METHACHOLINE..BRD.BRD.A18056626.003.22.3.",7496,10577,70.8707573035832
"AGN.192403..BRD.BRD.A18074780.003.02.0.",6685,9605,69.5991671004685
"BEVANTOLOL..BRD.BRD.A18233884.003.02.7.",1220,10783,11.3141055364926
"MALIC.ACID..BRD.BRD.A18396475.001.15.3.",4727,6730,70.2377414561664
"WISKOSTATIN..BRD.BRD.A18579359.001.05.9.",-1,6957,-0.0143740117866897
"X4BP.TQS..BRD.BRD.A18598741.001.02.9.",-1,6566,-0.0152299725860493
"TAZOBACTAM..BRD.BRD.A18611368.001.01.5.",456,8247,5.52928337577301
"CYANOCOBALAMIN..BRD.BRD.A18627414.001.04.9.",-1,6641,-0.0150579731968077
"IDAZOXAN..BRD.BRD.A18696154.003.22.6.",3070,13190,23.2752084912813
"BAX.CHANNEL.BLOCKER..BRD.BRD.A18763547.300.05.5.",6533,7290,89.6159122085048
"X7.HYDROXY.DPAT..BRD.BRD.A18795974.004.07.3.",-1,8663,-0.0115433452614568
"LERCANIDIPINE..BRD.BRD.A18992208.003.02.7.",-1,6885,-0.0145243282498184
"CLOROTEPINE..BRD.BRD.A19053834.050.09.5.",-1,7914,-0.0126358352287086
"NALTRIBEN..BRD.BRD.A19102171.066.01.4.",-1,8152,-0.0122669283611384
"TRIMIPRAMINE..BRD.BRD.A19195498.050.14.1.",2983,6459,46.1836197553801
"PROPYLENE.GLYCOL..BRD.BRD.A19232309.001.08.6.",401,9619,4.16883251897287
"METHYLPHENIDATE..BRD.BRD.A19585813.003.03.3.",6686,8119,82.3500431087572
"ANA.12..BRD.BRD.A19609491.001.01.8.",5606,10810,51.8593894542091
"PERHEXILINE..BRD.BRD.A19633847.050.32.1.",-1,7555,-0.0132362673726009
"MIANSERIN..BRD.BRD.A19661776.003.27.6.",4158,10789,38.5392529428121
"ONDANSETRON..BRD.BRD.A19736161.001.06.7.",-1,9100,-0.010989010989011
"MENADIONE.BISULFITE..BRD.BRD.A19777893.236.01.9.",-1,12717,-0.00786348981678069
"ATOVAQUONE..BRD.BRD.A19795905.001.08.0.",5749,7802,73.6862342988977
"CLOSANTEL..BRD.BRD.A19952358.001.11.3.",-1,8959,-0.0111619600401831
"TUAMINOHEPTANE..BRD.BRD.A19958636.065.04.4.",-1,10779,-0.00927729845069116
"MECAMYLAMINE..BRD.BRD.A20119038.003.07.8.",2496,12330,20.2433090024331
"ATENOLOL........BRD.BRD.A20239487.001.24.9.",4255,9069,46.9180725548572
"CHLORMEZANONE..BRD.BRD.A20348246.001.15.8.",8770,9742,90.0225826319031
"HALOTHANE..BRD.BRD.A20550616.001.02.9.",-1,11185,-0.00894054537326777
"DIHYDROXYPHENYLGLYCINE..BRD.BRD.A20589515.001.03.9.",-1,7565,-0.0132187706543291
"CANRENONE..BRD.BRD.A20644369.001.08.6.",-1,9531,-0.010492078480747
"PRASTERONE.ACETATE..BRD.BRD.A20758144.001.04.5.",274,6746,4.06166617254669
"PLOVAMER.ACETATE..BRD.BRD.A20781140.001.01.7.",-1,10917,-0.00916002564807182
"GDC.0994..BRD.BRD.A20830788.001.01.9.",-1,6472,-0.015451174289246
"CEFMENOXIME..BRD.BRD.A20839672.003.01.5.",-1,8337,-0.0119947223221782
"X2.6.DIMETHYLPIPERIDINE..BRD.BRD.A21276153.001.01.1.",10035,11130,90.1617250673854
"NIFENALOL..BRD.BRD.A21280314.001.06.8.",10407,13366,77.8617387400868
"XIBENOLOL..BRD.BRD.A21446384.001.01.1.",-1,11867,-0.00842672958624758
"METHOXYPHENAMINE..BRD.BRD.A21474126.001.01.6.",8875,11825,75.0528541226216
"PIPECURONIUM..BRD.BRD.A21544762.303.01.5.",-1,11291,-0.00885661146045523
"MEDETOMIDINE..BRD.BRD.A21607826.003.05.1.",-1,4921,-0.0203210729526519
"PRAZIQUANTEL..BRD.BRD.A21858158.001.23.5.",9652,13127,73.5278433762474
"AMLODIPINE..BRD.BRD.A22032524.074.06.5.",484,8124,5.95765632693255
"SULMAZOLE..BRD.BRD.A22081593.001.11.1.",-1,11707,-0.00854189800973776
"PHENOTHRIN..BRD.BRD.A22106989.001.05.0.",-1,7974,-0.0125407574617507
"ESTROPIPATE..BRD.BRD.A22143024.231.03.8.",5593,13631,41.0314723791358
"TRIDIHEXETHYL..BRD.BRD.A22152765.003.10.0.",-1,6865,-0.0145666423889294
"TERAZOSIN..BRD.BRD.A22256192.003.22.7.",1048,9429,11.1146463039559
"DROFENINE..BRD.BRD.A22267103.003.13.1.",-1,6078,-0.0164527805199079
"BENFLUOREX..BRD.BRD.A22305049.003.13.6.",5220,10595,49.2685228881548
"PANTOPRAZOLE..BRD.BRD.A22380646.236.05.8.",5982,9502,62.955167333193
"LICARBAZEPINE..BRD.BRD.A22642447.001.01.9.",1549,10386,14.9143077219334
"SB.205384..BRD.BRD.A22707317.001.10.8.",-1,6690,-0.0149476831091181
"HOMOCHLORCYCLIZINE..BRD.BRD.A22769835.300.05.7.",-1,7217,-0.0138561729250381
"TENOXICAM..BRD.BRD.A22844106.001.26.0.",4288,8181,52.4141303019191
"DMPS..BRD.BRD.A22971209.001.01.0.",-1,8609,-0.0116157509582995
"ITRACONAZOLE..BRD.BRD.A23067620.300.01.3.",-1,5157,-0.0193911188675587
"PHENIRAMINE..BRD.BRD.A23072235.050.18.5.",8152,8383,97.2444232375045
"PF.06463922..BRD.BRD.A23124853.001.01.4.",3321,7472,44.4459314775161
"SCLAREOL..BRD.BRD.A23127772.001.02.3.",-1,11101,-0.00900819745968832
"SIBUTRAMINE..BRD.BRD.A23359898.003.10.0.",11712,13070,89.6097934200459
"FLOCTAFENINE..BRD.BRD.A23418262.001.01.5.",-1,9842,-0.010160536476326
"RIFAMPIN..BRD.BRD.A23603052.001.03.2.",1535,8612,17.8239665582908
"SACLOFEN..BRD.BRD.A24122750.001.03.7.",-1,10052,-0.00994826900119379
"IFENPRODIL..BRD.BRD.A24191444.046.02.1.",-1,8773,-0.0113986093696569
"IFENPRODIL..BRD.BRD.A24191444.046.03.9.",-1,9412,-0.0106247343816405
"BICIFADINE..BRD.BRD.A24208517.003.01.8.",-1,9674,-0.0103369857349597
"OFLOXACIN..BRD.BRD.A24228527.213.01.9.",6916,10655,64.908493664946
"ANABASINE..BRD.BRD.A24284985.001.09.9.",-1,10221,-0.00978377849525487
"TROLEANDOMYCIN..BRD.BRD.A24297246.001.03.9.",4381,10955,39.9908717480602
"NADIFLOXACIN..BRD.BRD.A24397426.001.10.4.",1798,8560,21.0046728971963
"WARFARIN..BRD.BRD.A24514565.001.09.7.",3547,12610,28.1284694686757
"NORNICOTINE..BRD.BRD.A24543851.001.05.7.",1568,9446,16.5996188863011
"EFATUTAZONE..BRD.BRD.A24560335.300.01.2.",-1,5704,-0.017531556802244
"ISOETHARINE..BRD.BRD.A24587114.066.22.5.",3142,9620,32.6611226611227
"N.ACETYL.TYROSINE..BRD.BRD.A24857382.001.03.4.",6388,9763,65.4307077742497
"ERASTIN..BRD.BRD.A25004090.001.08.4.",530,9489,5.58541469069449
"CASIN..BRD.BRD.A25043798.001.02.9.",885,6667,13.2743362831858
"HYDROCORTISONE.VALERATE..BRD.BRD.A25143711.001.02.2.",-1,6085,-0.0164338537387017
"EDAGLITAZONE..BRD.BRD.A25182582.001.01.8.",2668,11451,23.299275172474
"AMINOGLUTETHIMIDE..BRD.BRD.A25234499.001.18.3.",10662,12686,84.0454043827842
"CHLORTETRACYCLINE..BRD.BRD.A25492003.003.14.1.",-1,12110,-0.00825763831544178
"KI.16425..BRD.BRD.A25569250.001.03.3.",131,8544,1.53323970037453
"NARASIN..BRD.BRD.A25608658.001.01.1.",-1,8053,-0.0124177325220415
"FADROZOLE..BRD.BRD.A25619068.003.03.4.",-1,9380,-0.0106609808102345
"GGSTOP..BRD.BRD.A25625670.001.02.7.",9031,9760,92.530737704918
"EMETINE..BRD.BRD.A25687296.300.04.3.",1143,7403,15.4396866135351
"L.CYSTEINESULFINIC.ACID..BRD.BRD.A25800195.001.02.2.",-1,9372,-0.0106700810926163
"TENOFOVIR.ALAFENAMIDE..BRD.BRD.A25988899.001.01.6.",-1,9352,-0.0106928999144568
"ZALDARIDE..BRD.BRD.A26032986.050.02.1.",3390,8379,40.4582885785893
"X3.DEAZAURIDINE..BRD.BRD.A26105646.001.06.1.",-1,7731,-0.0129349372655543
"PROPAFENONE..BRD.BRD.A26334849.001.06.2.",-1,9285,-0.0107700592353258
"CHLORTHALIDONE..BRD.BRD.A26384407.001.25.1.",-1,11104,-0.00900576368876081
